"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Detecting the Locations and Predicting the Maintenance Costs of Compound Architectural Debts","L. Xiao; Y. Cai; R. Kazman; R. Mo; Q. Feng","School of Systems and Enterprises, Stevens Institute of Technology, Hoboken, NJ, USA; Computer Science, Drexel University, Philadelphia, PA, USA; Department of Information Technology Management, University of Hawaii, Honolulu, HI, USA; Computer Science, Central China Normal University, Wuhan, Hubei, China; School of Computer Science and Engineering, Nanjing University of Science and Technology, Nanjing, Jiangsu, China","IEEE Transactions on Software Engineering","16 Sep 2022","2022","48","9","3686","3715","Architectural Technical Debt (ATD) refers to sub-optimal architectural design in a software system that incurs high maintenance “interest” over time. Previous research revealed that ATD has significant negative impact on daily development. This paper contributes an approach to enable an architect to precisely locate ATDs, as well as capture the trajectory of maintenance cost on each debt, based on which, predict the cost of the debt in a future release. The ATDs are expressed in four typical patterns, which entail the core of each debt. Furthermore, we aggregate compound ATDs to capture the complicated relationship among multiple ATD instances, which should be examined together for effective refactoring solutions. We evaluate our approach on 18 real-world projects. We identified ATDs that persistently incur significant (up to 95 percent of) maintenance costs in most projects. The maintenance costs on the majority of debts fit into a linear regression model—indicating stable “interest” rate. In five projects, 12.1 to 27.6 percent of debts fit into an exponential model, indicating increasing “interest” rate, which deserve higher priority from architects. The regression models can accurately predict the costs of the majority of (82 to 100 percent) debts in the next release of a system. By aggregating related ATDs, architects can focus on a small number of cost-effective compound debts, which contain a relatively small number of source files, but account for a large portion of maintenance costs in their projects. With these capabilities, our approach can help architects make informed decisions regarding whether, where, and how to refactor for eliminating ATDs in their systems.","1939-3520","","10.1109/TSE.2021.3102221","National Science Foundation(grant numbers:CNS-1823074,CNS-1823177,CNS-1823214,CCF-1817267,CCF-1816594,OAC-1835292); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9508122","Software architecture;technical debt;software maintenance;debt quantification and prioritization","Maintenance engineering;Software;Compounds;Computer architecture;History;Trajectory;Aggregates","","8","","120","IEEE","5 Aug 2021","","","IEEE","IEEE Journals"
"An Analysis of Techniques and Methods for Technical Debt Management: A Reflection from the Architecture Perspective","C. Fernández-Sánchez; J. Garbajosa; C. Vidal; A. Yagüe","ETSISI & CITSEM, Technical University of Madrid (UPM), Spain; ETSISI & CITSEM, Technical University of Madrid (UPM), Spain; ETSISI & CITSEM, Technical University of Madrid (UPM), Spain; ETSISI & CITSEM, Technical University of Madrid (UPM), Spain","2015 IEEE/ACM 2nd International Workshop on Software Architecture and Metrics","3 Aug 2015","2015","","","22","28","Technical debt is a metaphor referring to the consequences of weak software development. Managing technical debt is necessary in order to keep it under control, and several techniques have been developed with the goal of accomplishing this. However, available techniques have grown disperse and managers lack guidance. This paper covers this gap by providing a systematic mapping of available techniques and methods for technical debt management, covering architectural debt, and identifying existing gaps that prevent to manage technical debt efficiently.","","978-1-4673-7076-9","10.1109/SAM.2015.11","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7174845","Software architecture;technical debt;architectural technical debt;technical debt management;systematic mapping;tools;techniques","Estimation;Software;Measurement;Systematics;Uncertainty;Economics;Maintenance engineering","","8","","47","IEEE","3 Aug 2015","","","IEEE","IEEE Conferences"
"Assuring the Evolvability of Microservices: Insights into Industry Practices and Challenges","J. Bogner; J. Fritzsch; S. Wagner; A. Zimmermann","University of Applied Sciences Reutlingen, Germany; University of Stuttgart, Germany; University of Stuttgart, Germany; University of Applied Sciences Reutlingen, Germany","2019 IEEE International Conference on Software Maintenance and Evolution (ICSME)","5 Dec 2019","2019","","","546","556","While Microservices promise several beneficial characteristics for sustainable long-term software evolution, little empirical research covers what concrete activities industry applies for the evolvability assurance of Microservices and how technical debt is handled in such systems. Since insights into the current state of practice are very important for researchers, we performed a qualitative interview study to explore applied evolvability assurance processes, the usage of tools, metrics, and patterns, as well as participants' reflections on the topic. In 17 semi-structured interviews, we discussed 14 different Microservice-based systems with software professionals from 10 companies and how the sustainable evolution of these systems was ensured. Interview transcripts were analyzed with a detailed coding system and the constant comparison method. We found that especially systems for external customers relied on central governance for the assurance. Participants saw guidelines like architectural principles as important to ensure a base consistency for evolvability. Interviewees also valued manual activities like code review, even though automation and tool support was described as very important. Source code quality was the primary target for the usage of tools and metrics. Despite most reported issues being related to Architectural Technical Debt (ATD), our participants did not apply any architectural or service-oriented tools and metrics. While participants generally saw their Microservices as evolvable, service cutting and finding an appropriate service granularity with low coupling and high cohesion were reported as challenging. Future Microservices research in the areas of evolution and technical debt should take these findings and industry sentiments into account.","2576-3148","978-1-7281-3094-1","10.1109/ICSME.2019.00089","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8919247","Microservices, interviews, industry, evolvability, assurance","Interviews;Software;Industries;Tools;Measurement;Companies;Guidelines","","12","","23","IEEE","5 Dec 2019","","","IEEE","IEEE Conferences"
"Technical Debt-Related Information Asymmetry between Finance and IT","T. Stablein; D. Berndt; M. Mullarkey",University of South Florida; University of South Florida; University of South Florida,"2018 IEEE/ACM International Conference on Technical Debt (TechDebt)","30 Dec 2018","2018","","","134","137","This position paper proposes a new stream of research targeted at technical debt as a source of information asymmetry between finance and IT professionals involved in information technology investment decisions. Finance teams interact with technology teams in several ways, predominantly when business cases require review and during the annual budgeting process. During these discrete interactions, finance teams are required to digest large amounts of technical strategy and architectural information chockfull of technical terminology and diagrams. Typically, the estimates for effort are soft and risk is difficult to measure. It is within this context that finance approves budgets and projects that inevitably result in the accumulation of technical debt. This paper discusses some of the dynamics at work between finance and IT teams within large complex organizations when they meet to make technology investment decisions. In addition, future research is proposed aimed at reducing information asymmetry, thereby leading to improved IT investment decisions and better management of technical debt.","","978-1-4503-5713-5","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8595114","technical debt;information asymmetry;IT investment;decision making","Finance;Investment;Organizations;Interviews;Stakeholders;Encoding","","1","","9","","30 Dec 2018","","","IEEE","IEEE Conferences"
"Towards an Architectural Debt Index","R. Roveda; F. Arcelli Fontana; I. Pigazzini; M. Zanoni","Alten Italia, Milano, Italy; Department of Informatics, Università of Milano-Bicocca; Department of Informatics, Università of Milano-Bicocca; Department of Informatics, Università of Milano-Bicocca","2018 44th Euromicro Conference on Software Engineering and Advanced Applications (SEAA)","21 Oct 2018","2018","","","408","416","Different indexes have been proposed to evaluate software quality and technical debt. Usually these indexes take into account different code level issues and several metrics, well known software metrics or new ones defined ad hoc for a specific purpose. In this paper we propose and define a new index, more oriented to the evaluation of architectural violations. We describe in detail the index, called Architectural Debt Index, that we integrated in a tool developed for architectural smell detection. The index is based on the detection of architectural smells, their criticality and their history. Currently only dependency architectural smells have been considered, but other architectural debt indicators can be considered and integrated in the index computation.","","978-1-5386-7383-6","10.1109/SEAA.2018.00073","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8498240","architectural smells;architectural debt index;severity index;technical debt","Indexes;Tools;Measurement;History;Estimation;Computer architecture;Electronic mail","","21","","30","IEEE","21 Oct 2018","","","IEEE","IEEE Conferences"
"Software Architecture Social Debt: Managing the Incommunicability Factor","D. A. Tamburri","Jheronimus Academy of Data Science, Technische Universiteit Eindhoven, Eindhoven, The Netherlands","IEEE Transactions on Computational Social Systems","13 Feb 2019","2019","6","1","20","37","Architectural technical debt is the additional project cost connected to technical issues nested in software architectures. Similarly, many practitioners have already experienced that there exists within software architectures a form of social debt, that is, the additional project cost connected to sociotechnical and organizational issues evident in or related to software architectures. This paper illustrates four recurrent antipatterns or community smells connected to such architectural social debt and outlines a means to measure the additional project cost connected to their underlying cause: decision incommunicability. Evaluating the results in multiple focus groups, this paper concludes that studying social debt and community smells at the architecture level may prove vital to rid software development communities of critical organizational flaws incurring considerable additional cost.","2329-924X","","10.1109/TCSS.2018.2886433","European Commission(grant numbers:0421); European Commission (H2020), ANITA(grant numbers:787061); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8613009","Social debt;social debt cost estimation;social debt in software architecting;technical debt","Software architecture;Software;Computer architecture;Green products;Interviews;Europe;Documentation","","17","","61","IEEE","15 Jan 2019","","","IEEE","IEEE Journals"
"Towards the Assisted Decomposition of Large-Active Files","J. Lefever; Y. Cai; R. Kazman; H. Fang","Drexel University, Philadelphia, USA; Drexel University, Philadelphia, USA; University of Hawaii, Honolulu, USA; Drexel University, Philadelphia, USA","2023 IEEE 20th International Conference on Software Architecture Companion (ICSA-C)","24 Apr 2023","2023","","","126","130","Tightly coupled and interdependent systems inhibit productivity by requiring developers to carefully coordinate their changes, even when modifying subsystems that should be independent of one another. Poor architectural decisions frequently lead to the presence of large, change-prone source files that are at the center of complexes of technical debt [11], [6]. This kind of technical debt quickly incurs interest both through coordination costs and error-proneness. In this paper, we present a new approach for decomposing these ""large-active"" files to pay down critical technical debt. We package our approach as a refactoring recommendation system. Each recommendation is determined by analyzing patterns of co-change and mutual dependency among files. Each recommendation corresponds to a responsibility the large-active file has in relation to the rest of the system. By moving recommended functionality from the large-active file into smaller files, developers can reduce the impact of a debt-laden file and clarify its essential responsibilities. A key advantage of this approach over prior work is that we better focus effort; we avoid spending developer effort refactoring code that is only superficially problematic. We achieve this by incorporating revision history into both determining and ranking recommendations. Each recommendation corresponds to some change-prone responsibility. We present some examples of this approach in action and outline our future plans.","2768-4288","978-1-6654-6459-8","10.1109/ICSA-C57050.2023.00037","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10092677","refactoring;design improvement;software architecture","Couplings;Productivity;Codes;Costs;Software architecture;Computer bugs;Computer architecture","","","","18","IEEE","24 Apr 2023","","","IEEE","IEEE Conferences"
"Exploiting dynamic analysis for architectural smell detection: a preliminary study","I. Pigazzini; D. Di Nucci; F. A. Fontana; M. Belotti","University of Milano-Bicocca, Milan, Italy; University of Salerno, Fisciano, Italy; University of Milano-Bicocca, Milan, Italy; University of Milano-Bicocca, Milan, Italy","2022 48th Euromicro Conference on Software Engineering and Advanced Applications (SEAA)","16 Jan 2023","2022","","","282","289","Architectural anomalies, also known as architectural smells, represent the violation of design principles or decisions that impact internal software qualities with significant negative effects on maintenance, evolution costs and technical debt. Architectural smells, if early removed, have an overall impact on reducing a possible progressive architectural erosion and architectural debt. Some tools have been proposed for their detection, exploiting different methods, usually based only on static analysis. This work analyzes how dynamic analysis can be exploited to detect architectural smells. We focus on two smells, Hub-Like Dependency and Cyclic Dependency, and we extend an existing tool integrating dynamic analysis. We conduct an empirical study on ten projects. We compare the results obtained comparing a method featuring dynamic analysis and the original version of Arcan based only on static analysis to understand if dynamic analysis can be successfully used. The results show that dynamic analysis helps identify missing architectural smells instances, although its usage is hindered by the lack of test suites suitable for this scope.","","978-1-6654-6152-8","10.1109/SEAA56994.2022.00051","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10011491","architectural smell detection;dynamic analysis;architectural debt","Costs;Static analysis;Software quality;Maintenance engineering;Software engineering","","","","43","IEEE","16 Jan 2023","","","IEEE","IEEE Conferences"
"Identifying Architectural Technical Debt in Android Applications through Automated Compliance Checking","R. Verdecchia","Vrije Universiteit, Amsterdam, The Netherlands","2018 IEEE/ACM 5th International Conference on Mobile Software Engineering and Systems (MOBILESoft)","22 Nov 2018","2018","","","35","36","By considering the fast pace at which mobile applications need to evolve, Architectural Technical Debt results to be a crucial yet implicit factor of success. In this research we present an approach to automatically identify Architectural Technical Debt in Android applications. The approach takes advantage of architectural guidelines extraction and modeling, architecture reverse engineering, and compliance checking. As future work, we plan to fully automate the process and empirically evaluate it via large-scale experiments.","","978-1-4503-5712-8","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8543428","Software Architecture;Technical Debt;Android;Compliance Checking","Computer architecture;Guidelines;Software;Architecture;Reverse engineering;Complexity theory;Tools","","","1","5","","22 Nov 2018","","","IEEE","IEEE Conferences"
"Determining Enterprise Architecture Smells from Software Architecture Smells","B. Tieu; S. Hacks","School of Electrical Engineering and Computer Science, KTH Royal Institute of Technology, Stockholm, Sweden; The Maersk Mc-Kinney Moller Institute University of Southern Denmark, Odense, Denmark","2021 IEEE 23rd Conference on Business Informatics (CBI)","19 Nov 2021","2021","02","","134","142","Software Architectural Smells (SA smells) are design problems in the internal structure and behavior of an SA. These can be seen as a specific category under the umbrella concept of Technical Debt (TD). TD is a central concept in software development projects and having the means to detect and measure the smells is important to understand impairments they may cause. However, TD is only limited to the technical aspects and does not describe smells found on an enterprise level. Enterprise Architecture Debt (EAD) expands the concepts of TD beyond the technical aspects such that it covers the debts that can be found in all layers of an Enterprise Architecture (EA). EA smells give a measurement for EAD, by providing means for detecting the smell, hence enabling a method to quantify the level of debt. The goal of this paper is to find EA smells derived from existing SA smells. This has resulted in three new EA smells that could be used as measurements for the quality of an EA. They can also be used in the future as a basis for automatic EA smell detection.","2378-1971","978-1-6654-2069-3","10.1109/CBI52690.2021.10064","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9610644","","Software architecture;Conferences;Computer architecture;Organizations;Software;Cognition;Software measurement","","2","","34","IEEE","19 Nov 2021","","","IEEE","IEEE Conferences"
"Technical Debt Indexes Provided by Tools: A Preliminary Discussion","F. A. Fontana; R. Roveda; M. Zanoni","Università degli Studi di Milano - Bicocca, Milan, Italy; Università degli Studi di Milano - Bicocca, Milan, Italy; Università degli Studi di Milano - Bicocca, Milan, Italy","2016 IEEE 8th International Workshop on Managing Technical Debt (MTD)","8 Dec 2016","2016","","","28","31","In software maintenance and evolution, it is important to assess both code and architecture in order to identify issues to be solved to improve software quality. Different tools provide some kind of index giving us an overall evaluation of a project to be used when managing its technical debt. In this paper, we outline how the indexes, that we call in general Technical Debt Indexes, provided by five different tools are computed. We describe their principal features and differences, what aspects they are missing, and we outline if (and how) the indexes take into account architectural problems that could have a major impact on the architectural debt. We show that the indexes rely on different information sources and measure different quantities.","","978-1-5090-3854-1","10.1109/MTD.2016.11","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7776450","Technical Debt Indexes;Architectural Debt;Software Quality Analysis Tools","Indexes;Computer architecture;Estimation;Complexity theory;Time measurement;Encoding","","25","","16","IEEE","8 Dec 2016","","","IEEE","IEEE Conferences"
"Estimating the size, cost, and types of Technical Debt","B. Curtis; J. Sappidi; A. Szynkarski","CAST, Fort Worth, TX, USA; CAST, Fort Worth, TX, USA; CAST, Paris, France","2012 Third International Workshop on Managing Technical Debt (MTD)","28 Jun 2012","2012","","","49","53","This study summarizes results of a study of Technical Debt across 745 business applications comprising 365 million lines of code collected from 160 companies in 10 industry segments. These applications were submitted to a static analysis that evaluates quality within and across application layers that may be coded in different languages. The analysis consists of evaluating the application against a repository of over 1200 rules of good architectural and coding practice. A formula for estimating Technical Debt with adjustable parameters is presented. Results are presented for Technical Debt across the entire sample as well as for different programming languages and quality factors.","","978-1-4673-1749-8","10.1109/MTD.2012.6226000","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6226000","software metrics;software structural quality;technical debt;static analysis;benchmarking","Organizations;Software;Production;Encoding;ISO standards;Industries","","58","","10","IEEE","28 Jun 2012","","","IEEE","IEEE Conferences"
"Exploring the Relationship between Software Modularity and Technical Debt","P. Skiada; A. Ampatzoglou; E. -M. Arvanitou; A. Chatzigeorgiou; I. Stamelos","Department of Applied Informatics, University of Macedonia, Thessaloniki, Greece; Department of Applied Informatics, University of Macedonia, Thessaloniki, Greece; Department of Applied Informatics, University of Macedonia, Thessaloniki, Greece; Department of Applied Informatics, University of Macedonia, Thessaloniki, Greece; Department of Applied Informatics, University of Macedonia, Thessaloniki, Greece","2018 44th Euromicro Conference on Software Engineering and Advanced Applications (SEAA)","21 Oct 2018","2018","","","404","407","Modularity is one of the key principles of software design. In order for a software system to be modular, it should be organized into modules that are highly coherent internally, whereas at the same time as independent from other modules as possible. In this paper we explore coupling and cohesion metrics at the software package level-i.e., one of most basic levels of software functional decomposition in object-oriented (OO) systems, with the aim of investigating their relation to the technical debt of each package. Current state-of-the-art tools in TD measurement are working on the source code level, and the extent to which they can unveil limitations at the architecture level (e.g., violations of the modularity principle), has not been explored so far. To achieve this goal, we conducted a case study on 1,200 packages retrieved from 20 well-known open source software projects. The results of the study suggested that current measures of technical debt are able to identify / predict modules that lack modularity, and therefore suffer from Architectural Technical Debt (ATD). The results of the study are discussed both from the practitioners' and re-searchers' point of view.","","978-1-5386-7383-6","10.1109/SEAA.2018.00072","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8498239","coupling;cohesion;modularity;technical debt","Measurement;Software;Couplings;Computer architecture;Correlation;Tools;Java","","3","","19","IEEE","21 Oct 2018","","","IEEE","IEEE Conferences"
"Accumulation and Prioritization of Architectural Debt in Three Companies Migrating to Microservices","S. S. De Toledo; A. Martini; P. H. Nguyen; D. I. K. Sjøberg","Department for Informatics, University of Oslo, Oslo, Norway; Department for Informatics, University of Oslo, Oslo, Norway; SINTEF, Oslo, Norway; Department for Informatics, University of Oslo, Oslo, Norway","IEEE Access","12 Apr 2022","2022","10","","37422","37445","Many companies migrate to microservices because they help deliver value to customers quickly and continuously. However, like any architectural style, microservices are prone to architectural technical debt (ATD), which can be costly if the debts are not timely identified, avoided, or removed. During the early stages of migration, microservice-specific ATDs (MS-ATDs) may accumulate. For example, practitioners may decide to continue using poorly defined APIs in microservices while attempting to maintain compatibility with old functionalities. The riskiest MS-ATDs must be prioritized. Nevertheless, there is limited research regarding the prioritization of MS-ATDs in companies migrating to microservices. This study aims to identify, during migration, which MS-ATDs occur, are the most severe, and are the most challenging to solve. In addition, we propose a way to prioritize these debts. We conducted a multiple exploratory case study of three large companies that were early in the migration process to microservices. We interviewed 47 practitioners with several roles to identify the debts in their contexts. We report the MS-ATDs detected during migration, the MS-ATDs that practitioners estimate to occur in the future, and the MS-ATDs that practitioners report as difficult to solve. We discuss the results in the context of the companies involved in this study. In addition, we used a risk assessment approach to propose a way for prioritizing MS-ATDs. Practitioners from other organizations and researchers may use this approach to provide rankings to help identify and prioritize which MS-ATDs should be avoided or solved in their contexts.","2169-3536","","10.1109/ACCESS.2022.3158648","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9732968","Architectural technical debt;microservices;software maintainability;cross-company study;qualitative analysis","Microservice architectures;Computer architecture;Costs;Scalability;Software maintenance","","5","","33","CCBY","10 Mar 2022","","","IEEE","IEEE Journals"
"An Architectural Smells Detection Tool for C and C++ Projects","A. Biaggi; F. Arcelli Fontana; R. Roveda","Università degli Studi di Milano-Bicocca, Milan, Italy; Università degli Studi di Milano-Bicocca, Milan, Italy; Università degli Studi di Milano-Bicocca, Milan, Italy","2018 44th Euromicro Conference on Software Engineering and Advanced Applications (SEAA)","21 Oct 2018","2018","","","417","420","Architectural smells gained great attention in the past few years since they directly affect software quality and increase architectural technical debt. However, while it is straightforward to understand why they are important, it is more difficult to find techniques and tools to detect and remove architectural smells. The purpose of this paper is to introduce an open-source tool for automatic architectural smells detection for C/C++ projects, by creating an abstraction of the project and defining the concept of dependency between elements belonging to the project in order to identify architectural smells. The tool has been validated on some open-source projects with promising results.","","978-1-5386-7383-6","10.1109/SEAA.2018.00074","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8498241","Architectural Smells, Architectural Technical Debt, Software Architecture Evaluation, Standard C, C++","Tools;Computer architecture;Measurement;C++ languages;Image edge detection;Engines;Java","","12","","10","IEEE","21 Oct 2018","","","IEEE","IEEE Conferences"
"Revealing Social Debt with the CAFFEA Framework: An Antidote to Architectural Debt","A. Martini; J. Bosch","Computer Science and Engineering, Chalmers University of Technology, Göteborg, Sweden; Computer Science and Engineering, Chalmers University of Technology, Göteborg, Sweden","2017 IEEE International Conference on Software Architecture Workshops (ICSAW)","26 Jun 2017","2017","","","179","181","Large software companies need a well-managed Software Architecture to support continuous and fast delivery of customer value both in the short and long term. However, this can be hindered if both evolution and maintenance of existing systems are hampered by Architectural Technical Debt. To avoid the accumulation and the costly consequences of ATD, it is critical that the responsibilities to minimize it are well understood and shared in a large software organization. In this paper, we argue that an organizational model, based on a well validated framework such as CAFFEA, can be used to reveal sub-optimalities in the social structure of the organization: in other words, it can reveal Social Debt. Such sub-optimality, according to previous work, leads to the accumulation of ATD. In conclusion, using the CAFFEA framework as an organizational analysis tool, can reveal weak spots (Social Debt) in the organization and can help preventing costly ATD and its consequences.","","978-1-5090-4793-2","10.1109/ICSAW.2017.42","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7958479","Architectural Technical Debt;Social Debt","Software architecture;Software;Computer architecture;Companies;Conferences","","5","","8","IEEE","26 Jun 2017","","","IEEE","IEEE Conferences"
"Architecture Technical Debt: Understanding Causes and a Qualitative Model","A. Martini; J. Bosch; M. Chaudron","Computer Science and Engineering, I Gothenburg University, Göteborg, Sweden; Computer Science and Engineering, I Gothenburg University, Göteborg, Sweden; Computer Science and Engineering, I Gothenburg University, Göteborg, Sweden","2014 40th EUROMICRO Conference on Software Engineering and Advanced Applications","20 Nov 2014","2014","","","85","92","A known problem in large software companies is to balance the prioritization of short-term with long-term responsiveness. Specifically, architecture violations (Architecture Technical Debt) taken to deliver fast might hinder future feature development, which would hinder agility. We conducted a multiple-case embedded case study in 7 sites at 5 large companies in order to shed light on the current causes for the accumulation of Architectural Technical Debt that causes effort. We provide a taxonomy of the factors and their influence in the accumulation of debt, and we provide a qualitative model of how the debt is accumulated and recovered over time.","2376-9505","978-1-4799-5795-8","10.1109/SEAA.2014.65","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6928795","architectural technical debt;agile software development;development speed;software life-cycle;influencing factors;qualitative model;Grounded Theory","Companies;Software;Computer architecture;Conferences;Market research;Uncertainty;Variable speed drives","","52","","14","IEEE","20 Nov 2014","","","IEEE","IEEE Conferences"
"The Perception of Technical Debt in the Embedded Systems Domain: An Industrial Case Study","A. Ampatzoglou; A. Ampatzoglou; A. Chatzigeorgiou; P. Avgeriou; P. Abrahamsson; A. Martini; U. Zdun; K. Systa","Department of Computer Science, University of Groninzen, Groninzen, Netherlands; Department of Computer Science, University of Groninzen, Groninzen, Netherlands; Department of Applied Informatics, University of Macedonia, Thessaloniki, Greece; Department of Computer Science, University of Groninzen, Groninzen, Netherlands; Department of Computer and Information Science, National Technical University of Norway, Trondheim, Norway; Department of Computer Science and Engineering, Chalmers University of Technology, Gothenburg, Sweden; Faculty of Computer Science, University of Vienna, Vienna, Austria; Department of Software Systems, Technical University of Tampere, Tampere, Finland","2016 IEEE 8th International Workshop on Managing Technical Debt (MTD)","8 Dec 2016","2016","","","9","16","Technical Debt Management (TDM) has drawn the attention of software industries during the last years, including embedded systems. However, we currently lack an overview of how practitioners from this application domain perceive technical debt. To this end, we conducted a multiple case study in the embedded systems industry, to investigate: (a) the expected life-time of components that have TD, (b) the most frequently occurring types of TD in them, and (c) the significance of TD against run-time quality attributes. The case study was performed on seven embedded systems industries (telecommunications, printing, smart manufacturing, sensors, etc.) from five countries (Greece, Netherlands, Sweden, Austria, and Finland). The results of the case study suggest that: (a) maintainability is more seriously considered when the expected lifetime of components is larger than ten years, (b) the most frequent types of debt are test, architectural, and code debt, and (c) in embedded systems the run-time qualities are prioritized compared to design-time qualities that are usually associated with TD. The obtained results can be useful for both researchers and practitioners: the former can focus their research on the most industrially-relevant aspects of TD, whereas the latter can be informed about the most common types of TD and how to focus their TDM processes.","","978-1-5090-3854-1","10.1109/MTD.2016.8","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7776447","technical debt;embedded systems;industry;case study","Embedded systems;Industries;Companies;Embedded software;Time division multiplexing;Context","","25","","24","IEEE","8 Dec 2016","","","IEEE","IEEE Conferences"
"Preemptive management of model driven technical debt for improving software quality","C. Izurieta; G. Rojas; I. Griffith","Department of Computer Science, Montana State University, USA; Universidad de Concepcion, Concepcion, CL; Department of Computer Science, Montana State University, USA","2015 11th International ACM SIGSOFT Conference on Quality of Software Architectures (QoSA)","14 Apr 2016","2015","","","31","36","Technical debt has been the subject of numerous studies over the last few years. To date, most of the research has concentrated on management (detection, quantification, and decision making) approaches-most performed at code and implementation levels through various static analysis tools. However, if practitioners are to adopt model driven techniques, then the management of technical debt also requires that we address this problem during the specification and architectural phases. This position paper discusses several questions that need to be addressed in order to improve the quality of software architecture by exploring the management of technical debt during modeling, and suggests various lines of research that are worthwhile subjects for further investigation.","","978-1-4503-3470-9","10.1145/2737182.2737193","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7450799","Technical debt;model driven development;software quality;software maintenance;model and architectural quality","Object oriented modeling;Taxonomy;Software quality;Software engineering;Computer science;Decision making","","6","","33","","14 Apr 2016","","","IEEE","IEEE Conferences"
"Towards a comprehensive self-admitted technical debt extraction technique from source code comments","Y. S. Al-Slais","College of Information Technology, University of Bahrain, Kingdom of Bahrain","3rd Smart Cities Symposium (SCS 2020)","22 Sep 2021","2020","2020","","109","114","Identifying Technical Debt (TD) within Software Development Projects (SDP) is a growing research interest as it has the potential to save software developers’ effort in maintenance tasks. Although there are ten types of TD, there is a lack of automatic techniques to extract them through static nor dynamic analysis. This paper proposes a self-admitted TD extraction framework to extract TD from software’s comments and classify them comprehensively through a Parts-of-Speech technique. A public TD dataset is used to evaluate the proposed framework. Results show that the proposed technique was able to increase the classification of build, architectural, versioning, and infrastructure TD by 16%.","","","10.1049/icp.2021.0881","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9545671","","","","","","","","22 Sep 2021","","","IET","IET Conferences"
"Toward Predicting Architectural Significance of Implementation Issues","A. Shahbazian; D. Nam; N. Medvidovic","University of Southern California, Los Angeles, CA, USA; University of Southern California, Los Angeles, CA, USA; University of Southern California, Los Angeles, CA, USA","2018 IEEE/ACM 15th International Conference on Mining Software Repositories (MSR)","30 Dec 2018","2018","","","215","219","In a software system's development lifecycle, engineers make numerous design decisions that subsequently cause architectural change in the system. Previous studies have shown that, more often than not, these architectural changes are unintentional by-products of continual software maintenance tasks. The result of inadvertent architectural changes is accumulation of technical debt and deterioration of software quality. Despite their important implications, there is a relative shortage of techniques, tools, and empirical studies pertaining to architectural design decisions. In this paper, we take a step toward addressing that scarcity by using the information in the issue and code repositories of open-source software systems to investigate the cause and frequency of such architectural design decisions. Furthermore, building on these results, we develop a predictive model that is able to identify the architectural significance of newly submitted issues, thereby helping engineers to prevent the adverse effects of architectural decay. The results of this study are based on the analysis of 21,062 issues affecting 301 versions of 5 large open-source systems for which the code changes and issues were publicly accessible.","2574-3864","978-1-4503-5716-6","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8595204","Architectural Design Decisions;Implementation Issues;Architectural Change Prediction","Computer architecture;Software systems;Data mining;Open source software;Manganese;Task analysis","","","","42","","30 Dec 2018","","","IEEE","IEEE Conferences"
